parcela,año,Especie,fun_group,abundancia,abundancia_std
A2,2019,Platalea leucorodia,wader_deep,5,0.011061946902654867
A2,2019,Spatula clypeata,duck_dabb,2400,0.048
A2,2019,Tadorna tadorna,duck_dabb,23,0.0022115384615384614
A2,2020,Anas acuta,duck_dabb,410,0.00803921568627451
A2,2020,Anas crecca,duck_dabb,120,0.006
A2,2020,Anas platyrhynchos,duck_dabb,840,0.084
A2,2020,Aythya ferina,duck_dive,410,0.041
A2,2020,Himantopus himantopus,wader_mid,12,0.0018461538461538461
A2,2020,Mareca penelope,duck_dabb,1750,0.0882011995363137
A2,2020,Mareca strepera,duck_dabb,250,0.1
A2,2020,Marmaronetta angustirostris,duck_dabb,249,0.27666666666666667
A2,2020,Netta rufina,duck_dive,890,0.11558441558441558
A2,2020,Oxyura leucocephala,duck_dive,12,0.03773584905660377
A2,2020,Phoenicopterus roseus,wader_deep,200,0.005693301830396538
A2,2020,Platalea leucorodia,wader_deep,4,0.008849557522123894
A2,2020,Spatula clypeata,duck_dabb,500,0.01
