parcela,año,valor_medio_MNDWI,Ratio_Inundacion_Total,count_seco,count_vegetal,count_verde,count_azul,ratio_seco,ratio_vegetal,ratio_verde,ratio_azul
Laguna del Tarelo,2006,0.423702240073063,0.6981132075471698,59,21,101,84,0.22264150943396227,0.07924528301886792,0.38113207547169814,0.3169811320754717
Marisma de Henares,2006,-0.15207812991831351,0.06161809544068638,12256,978,401,468,0.86903495710132594,0.06934694745798767,0.028433666595759768,0.03318442884492661
Lagunas de Bonanza,2006,-0.13757280385918166,0,61,10,0,0,0.8591549295774648,0.14084507042253522,0,0
Guadiamar encauzado,2007,-0.23422311320996608,0.12460017446932248,5749,272,393,464,0.8358534457691189,0.039546379761558594,0.057138703111369586,0.0674614713579529
Lucios FAO,2007,0.01277037074632611,0.2125748502994012,417,109,90,52,0.624251497005988,0.1631736526946108,0.1347305389221557,0.07784431137724551
Lucio del Lobo Grande,2007,0.21348744506964176,0.3976,401,352,497,0,0.3208,0.2816,0.3976,0
Marisma gallega,2007,-0.32770450311110955,1.2444518189737422e-4,24036,68,3,0,0.9970547973617622,0.002820757456340482,1.2444518189737422e-4,0
Laguna de los Mimbrales,2007,-0.4187476445650944,0,13,0,0,0,1,0,0,0
Laguna de Santa Olalla,2007,0.11201305770460944,0.46178343949044587,300,38,175,115,0.47770700636942676,0.06050955414012739,0.2786624203821656,0.18312101910828024
Caracoles Oeste,2007,-0.42623299770723655,1.5055706112616682e-4,19862,61,3,0,0.9967881160293084,0.003061326909565392,1.5055706112616682e-4,0
Lucio del Cuquero Grande,2007,0.7990744362968697,0.9242774566473988,71,60,92,1507,0.041040462427745665,0.03468208092485549,0.05317919075144509,0.8710982658959537
Esparragosilla,2007,0.4233182981679332,0.5456,433,419,306,717,0.23093333333333332,0.22346666666666667,0.1632,0.3824
Gaveta 1,2007,0.6654219940799911,0.788813382122321,200,204,188,1321,0.10454783063251437,0.10663878724516467,0.0982749607945635,0.6905384213277574
Arrozal del italiano,2007,0.01897979078423564,0.08424618045546267,8564,4143,904,265,0.6171807437301816,0.2985730758143557,0.06514845776880945,0.019097722686653214
Lucio del Cuquero Chico,2007,0.00110749449392863,0.1671061762664816,4960,1041,773,431,0.6884108258154059,0.14448299791811242,0.10728660652324774,0.059819569743233866
Pajas (Acebuche),2007,-0.5291266452070319,0,230,0,0,0,1,0,0,0
La Rocina,2007,-0.17842064148338427,0.06896551724137931,343,62,28,2,0.7885057471264367,0.1425287356321839,0.06436781609195402,0.004597701149425287
Hato Blanco nuevo,2007,-0.19569429048555828,0.028953786504909013,14159,1369,456,7,0.8854355575010944,0.08561065599399663,0.028516040272653368,4.377462322556438e-4
Hato Blanco viejo,2007,-0.3289810359381506,1.5037593984962405e-4,6631,18,1,0,0.9971428571428571,0.002706766917293233,1.5037593984962405e-4,0
Caracoles Este,2007,-0.36342504893186073,0.009518981637940746,17123,462,137,32,0.9644587135293455,0.026022304832713755,0.007716570913596936,0.00180241072434381
Entremuros zona 1,2007,-0.34352516829102775,0.008773061540446395,7589,94,33,35,0.9790994710359954,0.01212746742355825,0.004257515159334279,0.004515546381112115
Entremuros zona 2,2007,-0.383610296613367,8.911521323997453e-4,7819,29,4,3,0.9954169318905156,0.0036919159770846593,5.092297899427117e-4,3.8192234245703374e-4
Entremuros zona 3,2007,-0.3607874549115927,0.06391304347826086,6293,166,205,236,0.9120289855072464,0.024057971014492755,0.029710144927536233,0.034202898550724635
Entremuros zona 4,2007,-0.4297302257596893,0.0011731581417175035,4213,44,5,0,0.9885030502111685,0.010323791647114031,0.0011731581417175035,0
Entremuros zona 5,2007,-0.4601865966029741,0,4937,5,0,0,0.9989882638607851,0.0010117361392148927,0,0
"Brazo de la Torre, Parque Natural",2007,-0.2420024732136149,0.014565992865636148,3073,242,45,4,0.9134958382877527,0.07193816884661118,0.0133769322235434,0.0011890606420927466
Veta Adalid,2007,-0.27596224139751396,0.0016421947449768162,10139,196,11,6,0.9794242658423493,0.01893353941267388,0.001062596599690881,5.79598145285935e-4
Cantarita,2007,0.1426297295808829,0.22945756895869077,17345,11847,5389,3304,0.4578329154018741,0.3127095156394351,0.14224627161145573,0.08721129734723505
Gaveta 4,2007,0.7371009643893837,0.8568,104,75,119,952,0.0832,0.06,0.0952,0.7616
Gaveta 2,2007,0.6552548640857263,0.7355648535564854,155,161,103,776,0.1297071129707113,0.13472803347280335,0.08619246861924686,0.6493723849372385
B5,2007,0.5877079743528505,0.684931506849315,186,67,43,507,0.23163138231631383,0.08343711083437111,0.053549190535491904,0.6313823163138231
Gaveta 3,2007,0.7588226722669742,0.8386138613861386,86,77,55,792,0.08514851485148515,0.07623762376237624,0.054455445544554455,0.7841584158415842
B1,2007,0.5967013939201569,0.7214377406931964,147,70,97,465,0.18870346598202825,0.08985879332477535,0.1245186136071887,0.5969191270860077
A3,2007,0.6477954361711046,0.7338362068965517,149,98,50,631,0.16056034482758622,0.10560344827586207,0.05387931034482758,0.6799568965517241
B6,2007,0.5521046515500095,0.6555944055944056,134,63,50,325,0.23426573426573427,0.11013986013986014,0.08741258741258741,0.5681818181818182
B8,2007,0.4498374305630071,0.5924932975871313,103,49,46,175,0.2761394101876676,0.13136729222520108,0.12332439678284182,0.4691689008042895
B7,2007,0.7664479172586398,0.9306930693069307,4,3,17,77,0.039603960396039604,0.0297029702970297,0.16831683168316833,0.7623762376237624
A4,2007,0.5069050118868115,0.6205357142857143,205,135,111,445,0.22879464285714285,0.15066964285714285,0.12388392857142858,0.4966517857142857
B2,2007,0.44155737319964167,0.5595744680851064,161,46,50,213,0.3425531914893617,0.09787234042553192,0.10638297872340426,0.4531914893617021
A8,2007,0.55590148248669,0.706199460916442,79,30,34,228,0.21293800539083557,0.08086253369272237,0.09164420485175202,0.6145552560646901
A7,2007,0.2984211754053831,0.4,2,4,4,0,0.2,0.4,0.4,0
A6,2007,0.5895743856698662,0.6893004115226338,92,59,45,290,0.18930041152263374,0.12139917695473251,0.09259259259259259,0.5967078189300411
A5,2007,0.2997579528743829,0.43646408839779005,410,100,107,288,0.4530386740331492,0.11049723756906077,0.11823204419889503,0.318232044198895
B4,2007,0.6044515420673893,0.7010723860589813,156,67,49,474,0.20911528150134048,0.08981233243967829,0.06568364611260054,0.6353887399463807
B3,2007,0.493983105018673,0.6182572614107884,68,24,33,116,0.2821576763485477,0.0995850622406639,0.13692946058091288,0.48132780082987553
A2,2007,0.5413867071993638,0.6566347469220246,160,91,77,403,0.2188782489740082,0.12448700410396717,0.10533515731874145,0.5512995896032832
A1,2007,0.6341207580413302,0.7768817204301075,68,98,90,488,0.0913978494623656,0.13172043010752688,0.12096774193548387,0.6559139784946236
C1,2007,0.5737484927542904,0.6781609195402298,144,80,83,389,0.20689655172413793,0.11494252873563218,0.11925287356321838,0.5589080459770115
C8,2007,0.31873360532520006,0.4846560846560847,417,70,95,363,0.44126984126984126,0.07407407407407407,0.10052910052910052,0.38412698412698415
C7,2007,0.5986581063722183,0.7565714285714286,113,100,169,493,0.12914285714285714,0.11428571428571428,0.19314285714285714,0.5634285714285714
C6,2007,0.6293683456051715,0.7560137457044673,176,179,136,964,0.12096219931271478,0.12302405498281786,0.09347079037800687,0.6625429553264605
D5,2007,0.6760391953957278,0.791970802919708,131,211,164,1138,0.07968369829683698,0.128345498783455,0.09975669099756691,0.6922141119221411
C4,2007,0.6335531394240178,0.728405315614618,218,109,104,773,0.18106312292358803,0.09053156146179402,0.08637873754152824,0.6420265780730897
E3,2007,0.6037509841244352,0.762402088772846,28,63,81,211,0.0731070496083551,0.16449086161879894,0.21148825065274152,0.5509138381201044
E4,2007,0.5783006340907163,0.7555228276877761,61,105,125,388,0.0898379970544919,0.15463917525773196,0.18409425625920472,0.5714285714285714
D6,2007,0.6834569855491606,0.782608695652174,58,97,81,477,0.08134642356241234,0.13604488078541374,0.11360448807854137,0.6690042075736325
C5,2007,0.596947815376079,0.7549896765313145,206,150,203,894,0.14177563661390227,0.10323468685478321,0.1397109428768066,0.6152787336545079
D4,2007,0.6771616740329258,0.8028764805414551,84,149,132,817,0.07106598984771574,0.1260575296108291,0.1116751269035533,0.6912013536379019
D3,2007,0.7191102246682118,0.8183908045977012,58,100,96,616,0.06666666666666667,0.11494252873563218,0.1103448275862069,0.7080459770114943
C3,2007,0.5708864899470996,0.6634408602150538,204,109,51,566,0.21935483870967742,0.11720430107526882,0.054838709677419356,0.6086021505376344
C2,2007,0.4708780613687225,0.5844504021447721,217,93,81,355,0.29088471849865954,0.12466487935656836,0.10857908847184987,0.47587131367292224
C0,2007,-0.18726406490141173,0,301,3,0,0,0.9901315789473685,0.009868421052631578,0,0
